הֶעָרָה	comment, remark
אָמוּר	expected (obligation)

לְבַלְבֵּל	to confuse
לְבַזְבֵּז	to waste
לְפַסְפֵּס	to miss (train)

מַאֲמָץ	effort
אַמִּיץ	courageous,brave
אוֹמֶץ	courage
אִימּוּץ	adoption

מַחְסוֹם	barrier, blockade, obstacle
מַחְסָן	warehouse, storage

לְהָכִיל	to contain (pages)
לִכְלוֹל	to include, to comprise (team members)
לְהַכְלִיל	to generalize, to incorporate (perspectives)

מְאוּחָר	late
מְאוּשָּׁר	happy
מְגוּוָן	diverse, varied
מוּתָּר	permitted
מוּזָר	weird, strange
מַדְהִים	amazing, incredible
מְדוּיָּיק	precise, exact, accurate
מְהַנֶה	enjoyable
מוּגזָם	exaggerated
מוּגָן	protected
מוּחלָט	absolute, total
מוּטְעֶה	wrong, erroneous
מוּכְשָׁר	talented, competent, capable, gifted
מוּפתָע	surprised
מוּצְלָח	successful
מוּקדָשׁ	dedicated
מוּקלָט	recorded
מוּרְכָּב	complex, complicated
מוּשְׁלָם	perfect, ideal, flawless
מְחוּלָּק	divided
מְטוֹרָף	crazy, insane
מְיוּשָׁן	outdated, obsolete
מְיוּתָּר	unnecessary, superfluous, redundant
מְכוּבָּד	respectable
מַלְהִיב	exciting
מַלְחִיץ	stressful
מְמוּצָּע	average, median
מְמוּשָׁך	long, prolonged
מְסוּבָּך	complex
מְסוּכָּן	dangerous
מְסוּפָּק	satisfied
מְסוּרבָּל	cumbersome, awkward
מְפוֹאָר	luxurious; fancy
מְפוֹרָט	detailed, itemized
מְפוּתָח	developed
מַפְחִיד	frightening, scary
מְצוֹרָף	attached (to email)
מְצַעֵר	unfortunate, regrettable, sad
מַקְבִּיל	parallel; comparable
מְקוּבָּל	acceptable, popular
מְקוָּוּן	online
מְקוֹרִי	original
מַקְסִים	charming, lovely
מְרַגֵשׁ	exciting, emotional
מְרוּבָּע	square (adj)
מְרוּצֶּה	satisfied
מַרְשִׁים	impressive
מַשְׂכִּיל	educated
מְשַׁעְשֵׁעַ	entertaining, amusing
מִשְׁתַּנֶּה	variable
מִתְחַשֵּׁב	considerate
מִתְמַשֵּׁךְ	continuous, ongoing
נִבְחָר	selected, chosen
נִדְרָשׁ	required, expected
נוֹתָר	remained, left

מֶדְחֵף	propeller; impeller
מַדְחֵס	compressor
מַשְׁאַבָּה	pump
מְסַנֵּן	filter

חָטִיף	snack
טֵירוּף	insanity
כָּנָף	wing
כָּתֵף	shoulder
מַגָּף	boot
מַדָּף	shelf
נְגִיף	virus
טֶרֶף	prey
מָנוֹף	crane, lever
הֶיקֵּף	perimeter
נֶשֶׁף	party, ball, prom
סְנִיף	branch, office (of a bank)
סְעִיף	paragraph; clause (law)
עוֹדֶף	excess, surplus
עָנָף	branch (industry), sector
צָעִיף	scarf
רָצִיף	platform (railroad)
רֶצֶף	sequence; continuity

סִיכּוּן	risk
סַכָּנָה	danger
אִיוּם	threat

מְאוּיָּשׁ	manned, staffed
מַברִיק	brilliant (idea), shiny, glowing
מְגוּחָךְ	ridiculous, absurd
מְדוּמֶה	imaginary
מַהוּתִי	essential, substantial, fundamental
מְהֵימָן	credible, reliable, trustworthy
מוּבְטָל	unemployed
מוּגבָּל	limited, restricted
מוּגדָר	defined
מוּדגָשׁ	bold, highlighted
מוֹעִיל	helpful, useful, effective
מוּפְשָׁט	abstract
מוּקָף	surrounded, encircled
מוּרְגָשׁ	noticeable, felt
מוּשׁחָת	corrupt
מוֹשֵׁך	attractive
מוּתְקָן	installed
מְזוּהֶה	identified
מְחוֹנָן	gifted
מְטוּגָּן	fried
מִידַּבֵּק	contagious
מְיוּחָל	long-awaited
מְיוּמָּן	skilled
מֵיטָב	the best, optimum
מִייָּדִי	immediate
מִישׁוֹרִי	flat, plane (adj.)
מְלוּוֶה	accompanied
מְנוּמָּס	polite
מְסוּדָר	arranged
מִסְחָרִי	commercial
מְסַכֵּן	poor, unfortunate, miserable
מַסְרִיחַ	smelly
מְעוּנָן	cloudy
מְעוּרָב	involved
מַעֲשִׁיר	enriching
מְפוּלָג	divided
מְפוּצָל	split
מְפוֹרָשׁ	explicit
מָצוּי	common
מְצוּיָּד	equipped
מַקִּיף	comprehensive
מִקְרִי	accidental
מַרהִיב	spectacular, stunning
מְרוּחָק	remote, distant
מְרוּמָּז	implicit, subtle, implied
מְרוּשָּׁע	evil, wicked, offensive
מָרִיר	bitter
מְשׁוּמָשׁ	used (not new)
מְשׁוּנֶּה	strange, odd
מְשׁוֹעָר	estimated, supposed
מְשׁוּפָּר	improved
מְשַׂמֵחַ	joyful, happy, glad
מִשְׁנִי	secondary, collateral
מְשַׁקֵּף	reflecting
מָתוּן	moderate, mild
מְתוּקָן	corrected
מְחוּדָד	pointy, pointed
מַטְעֶה	misleading, deceiving

תַּחֲרוּת	competition, rivalry (sports)
מַאֲבָק	struggle, battle (long term - social)
יְרִיבוּת	rivalry, antagonism, enmity
הִתְנַגְּדוּת	opposition, resistance
הַסלָמָה	escalation
מְתִיחוּת	tension
וִיכּוּחַ	argument, debate (intellectual)
מַחֲלוֹקֶת	dispute, controversy (ideological)
נִיגּוּד	contradiction, opposition
סְתִירָה	contradiction, inconsistency
חִיכּוּךְ	friction
עוֹיְנוּת	hostility
רִיב	quarrel, fight (small personal)
סִיכְסוּךְ	conflict, dispute (long term)
התנגשות	clash, collision
עִימּוּת	confrontation
אַלִימוּת	violence
מַשׁבֵּר	crisis
אָסוֹן	disaster, calamity
מִלְחָמָה	war
לָחִימָה	warfare, fighting
קְרָב	battle
מערכה	campaign

שַׁחֲר	dawn, morning
זְרִיחָה	sunrise; daybreak
שְׁקִיעָה	sunset; dusk

מַרְאָה	mirror
מְעָרָה	cave
מְעִירָה	she wakes up

אוֹרֵחַ	guest
אוֹרֶךְ	length
עוֹרֵךְ	he organizes

עוֹר	skin
אוֹר	light

לְהַפְסִיק	to stop, quit
לְהַסְפִּיק	to be enough

הֲנָאָה	pleasure
חֲנָיָה	parking
הוֹנָאָה	scam

אֲייַשֵּׁר	I will align
אוֹשֶׁר	happiness
אִישּׁוּר	approval, authorization
עָשׂוֹר	decade
עָשִׁיר	rich
עוֹשֶׁר	wealth
אֲשֶׁר	that, which

לְאוֹרֶךְ	along, throughout
לְהַאֲרִיךְ	to extend
לֶאֱרוֹךְ	to last (rare)
לַעֲרוֹךְ	to edit
לְהַעֲרִיךְ	to estimate
לְאָרֵחַ	to host, accommodate

כַּפְתּוֹר	button (general); (also: shirt button)
לַחְצָן	push-button (technical); button (UI/device)
מַקָּשׁ	key (keyboard / piano); keypad key
מֶתֶג	switch (on/off switch, toggle)
מַפְסֵק	(electric) switch (wall light)

עַגְבָנִייָּה	tomato
אֲבַטִּיחַ	watermelon
דּוּבְדְּבָן	cherry
תּוּת	strawberry

הַבְטָחָה	promise
הַפרָעָה	disturbance
הַפתָעָה	surprise
הַשׁפָּעָה	influence
הַשׁקָעָה	investment
הַשְׁמָעָה	playback

לְהַפִּיל	to drop; to overthrow; to abort
לְנַפֵּץ	to smash, shatter
לְפוֹצֵץ	to blow up, detonate
לְהִתְפּוֹרֵר	to fall apart, disintegrate
לִשְׁבּוֹר	to break

נְפִילָה	fall, downfall
הַפָּלָה	abortion
מַפָּל	waterfall
נָפִיץ	explosive
נַפָּץ	detonator
פִּיצוּץ	explosion
פְּצָצָה	bomb
הִתְפּוֹרְרוּת	disintegration
שַׁבְרִיר	splinter, fragment

לִפְרוֹס	to slice; spread out; deploy
לְהִתְפַּלֵּג	to split into factions
לְפַצֵּל	to split up, divide
לְהִיפָּרֵד	to separate
לִפְרוֹט	to break (money into small parts)
לִפְרוֹם	to unknit, unravel
לְפָרֵק	to dismantle, disassemble
לִפְרוֹק	to unpack, unload

פֶּלַח	market share; fruit slice
פְּרוּסָה	slice, piece
פְּרִיסָה	layout; deployment
פֶּלֶג	faction
מִפְלָגָה	political party
הִתְפַּלְּגוּת	statistical distribution
פִּיצּוּל	fragmentation
הַפְרָדָה	separation. segregation
נִפְרָד	separate, individual (adj.)
פְּרָטִי	private, personal
מְפוֹרָט	details, specific
פֶּרֶק	chapter
פֵּירוּק	deconstruction, disassembly
פְּרִיקָה	discharge, unloading

לְהָפִיץ	to distribute, spread
לְפַזֵּר	to scatter, disperse
לְהַפְגִּיז	to bombard
לִפְרוֹס	to slice; spread out; deploy
לְהִתְפַּשֵּׁט	to undress; spread (reflexive)
לִפְלוֹשׁ	to invade, break into
לִפְרוֹץ	to hack; break in, breach

פְּלִישָׁה	invasion
מִפְרָץ	gulf, bay
פְּרִיצָה	burglary
פִּרְצָה	loophole, breach
פְּרוּצָה	prostitute

נָפוֹץ	widespread, common
הֲפָצָה	distribution, dissemination, spreading
פָּגָז	artillery shell
פְּרוּסָה	slice, piece
פְּרִיסָה	layout; deployment
מִפְרָשׂ	sail
מוּפְשָׁט	abstract
פָּשׁוּט	simple

לְהַנְפִּיק	to issue (coin, stock)
לִפְלוֹט	to emit, output; print
לְהִתְפּוֹגֵג	to dissipate, fade away
לְפַרְסֵם	to publish
לִפְרוֹס	to slice; spread out; deploy
לִשְׁפּוֹךְ	to pour; spill
לִפְעוֹם	to beat, pulse

פָּלִיט	refugee
פְּלִיטוֹת	emissions (industrial)
תְּפוּגָה	expiration
מְפוּרְסָם	famous
פִּירְסוֹמֶת	advertisement
פִּרְסוּם	advertising, publication, publicity
פְּרוּסָה	slice, piece
פְּרִיסָה	layout; deployment
שְׁפִיכוּת דָּמִים	bloodshed
פְּעִימָה	beat, pulse, heartbeat

לְפַעְנֵחַ	to decipher, figure out, solve
לְפַצֵּחַ	to solve (puzzle), crack (password), break (algoritm)
לִפְתּוֹר	to solve
לְפָרֵט	to detail, elaborate, specify
לְפָרַשׁ	to interpret, explain
לְהַפְרוֹת	to fertilize
לִפְרוֹחַ	to bloom; hover

פִּעַנוּחַ	decoding
מַפְצֵחַ	nutcracker
פִּיצּוּחַ	cracking (nuts), solving (puzzle)
פִּתְרוֹן	solution
פְּרִי	fruit

פּוֹרֶה	productive, fertile
פִּרְיוֹן	productivity, fertility
פֶּרַח	flower
אֶפְרוֹחַ	young chicken

פְּרִיט	item, object
פְּרָט	detail; individual
פֵּירוּט	breakdown, detail list
פַּרְשָׁן	commentator, expert
מְפוֹרָשׁ	explicit

לְפַטֵּר	to fire, dismiss
לְהִיפָּטֵר	to get rid of; to pass away
לְפַנּוֹת	to evacuate, clear
לְהַפְסִיד	to lose
לִפְרוֹשׁ	to retire, leave, quit

הִתְפַּטְּרוּת	resignation
פִּיטּוּרִים	layoff
פְּטוֹר	exemption, waiver
נִפְטָר	deceased
פִּינּוּי	evacuation, eviction
הֶפְסֵד	loss, damage
הֶפְרֵשׁ	numerical difference

לְפַגֵּר	to lag behind
לְהַפְלוֹת	to discriminate
לְהַפְרִיךְ	to disprove, refute, debunk
לְהָפֵר	to break (a contract, promise, law)
לִפְסוֹל	to rule out, disqualify
לְהִתְפַּשֵּׁר	to compromise

מְפַגֵּר	retarded person (slang)
אַפְלָיָה	discrimination
פָּרִיךְ	crispy, crunchy
פרך	hard labour
פֵּירוּר	(bread) crumb
הֲפָרָה	violation, breach (of promise, law)
פֶּסֶל	statue
פְּסוֹלֶת	waste, debris
פְּשָׁרָה	compromise
פּוֹשֵׁר	lukewarm
